SERIAL,DEPARTMENTID,HALLSTATUS,ADMISSIONDATE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED,COURSECREDIT,,,
10331,IPE,Resident,,12/1/2008,IPE 302,A-,NA,NA,53,3,1,3,3,5,21,101,0.75
10331,IPE,Resident,,12/1/2008,IPE 303,A,97,55,228,3,1,3,3,5,21,101,3
10331,IPE,Resident,,12/1/2008,IPE 304,A+,NA,NA,120,3,1,3,3,5,21,101,1.5
10331,IPE,Resident,,12/1/2008,IPE 305,A-,82,69,219,3,1,3,3,5,21,101,3
10331,IPE,Resident,,12/1/2008,IPE 306,A+,NA,NA,60,3,1,3,3,5,21,101,0.75
10331,IPE,Resident,,12/1/2008,IPE 307,B-,58,75,223,3,1,3,3,5,21,101,4
10331,IPE,Resident,,12/1/2008,IPE 311,A-,65,79,217,3,2,4,3,6,19,120,3
10331,IPE,Resident,,12/1/2008,IPE 312,A+,NA,NA,65,3,2,4,3,6,19,120,0.75
10331,IPE,Resident,,12/1/2008,IPE 313,A,82,74,229,3,2,4,3,6,19,120,3
10331,IPE,Resident,,12/1/2008,IPE 315,A-,67,74,218,3,2,4,3,6,19,120,3
10331,IPE,Resident,,12/1/2008,IPE 317,A+,103,64,251,3,2,4,3,6,19,120,3
10331,IPE,Resident,,12/1/2008,IPE 318,A+,NA,NA,121,3,2,4,3,6,19,120,1.5
10331,IPE,Resident,,12/1/2008,IPE 319,A-,64,70,215,3,2,4,3,6,19,120,3
10331,IPE,Resident,,12/1/2008,IPE 320,A+,NA,NA,64,3,2,4,3,6,19,120,0.75
10331,IPE,Resident,,12/1/2008,IPE 322,A,NA,NA,38,3,2,4,3,6,19,120,1.5
10331,IPE,Resident,,12/1/2008,IPE 400,X,NA,NA,Cont,4,1,4,4,7,20,140,0
10331,IPE,Resident,,12/1/2008,IPE 400,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 401,A-,115,81,293,4,1,4,4,7,20,140,4
10331,IPE,Resident,,12/1/2008,IPE 402,B,NA,NA,92,4,1,4,4,7,20,140,1.5
10331,IPE,Resident,,12/1/2008,IPE 403,A-,69,59,214,4,1,4,4,7,20,140,3
10331,IPE,Resident,,12/1/2008,IPE 405,A-,48,46,142,4,1,4,4,7,20,140,2
10331,IPE,Resident,,12/1/2008,IPE 407,A,74,74,226,4,1,4,4,7,20,140,3
10331,IPE,Resident,,12/1/2008,IPE 408,A+,NA,NA,61,4,1,4,4,7,20,140,0.75
10331,IPE,Resident,,12/1/2008,IPE 409,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 410,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 411,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 419,A,78,73,230,4,1,4,4,7,20,140,3
10331,IPE,Resident,,12/1/2008,IPE 427,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 451,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 470,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,IPE 480,NR,NA,NA,NR,4,2,NR,NR,8,NR,NR,0
10331,IPE,Resident,,12/1/2008,MATH 191,A-,76,94,288,1,1,4,4,1,20,20,4
10331,IPE,Resident,,12/1/2008,MATH 193,A-,96,79,278,1,2,4,4,2,22,42,4
10331,IPE,Resident,,12/1/2008,MATH 291,B,58,41,183,2,1,3,3,3,20,62,3
